Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
3.587660205364227295e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.150999999999999801e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.597570443153381348e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.138000000000000256e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.607476954460144043e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.118999999999999773e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.617389807701110840e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.086999999999999744e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.627291512489318848e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.086999999999999744e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.637202460765838623e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.054999999999999716e+01,2.973000000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.647108125686645508e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.054999999999999716e+01,2.962999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.657019329071044922e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.021999999999999886e+01,2.966000000000000014e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.666932895183563232e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,2.969999999999999929e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.676844272613525391e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.989999999999999858e+01,2.962999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.686752567291259766e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.957999999999999829e+01,2.966000000000000014e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.696663534641265869e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.952000000000000313e+01,2.973000000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.706578099727630615e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.925999999999999801e+01,2.978999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.716487815380096436e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.913000000000000256e+01,2.969999999999999929e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.726400234699249268e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.893999999999999773e+01,2.962999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.736313023567199707e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.864999999999999858e+01,2.973000000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.746225683689117432e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.860999999999999943e+01,2.966000000000000014e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.756133148670196533e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.828999999999999915e+01,2.976000000000000156e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.766043257713317871e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.828999999999999915e+01,2.985999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.775957977771759033e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.796999999999999886e+01,2.978999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.785867145061492920e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.796999999999999886e+01,2.978999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.795780875682830811e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.764999999999999858e+01,2.978999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.805687024593353271e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.749000000000000199e+01,2.976000000000000156e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.815600240230560303e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.732000000000000028e+01,2.976000000000000156e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.825515346527099609e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.703000000000000114e+01,2.969999999999999929e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.835421938896179199e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.700000000000000000e+01,2.966000000000000014e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.845337269306182861e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.667999999999999972e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.855242924690246582e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.667999999999999972e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.865148715972900391e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.649000000000000199e+01,2.969999999999999929e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.875061535835266113e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.635999999999999943e+01,2.973000000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.884973294734954834e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.632999999999999829e+01,2.978999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.894887869358062744e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.603999999999999915e+01,2.976000000000000156e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.904803094863891602e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.603999999999999915e+01,2.966000000000000014e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.914708063602447510e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.571000000000000085e+01,2.969999999999999929e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.924621200561523438e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.571000000000000085e+01,2.969999999999999929e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.934528443813323975e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.539000000000000057e+01,2.962999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.944438734054565430e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.539000000000000057e+01,2.966000000000000014e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.954352676868438721e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.507000000000000028e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.964259266853332520e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.503999999999999915e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.974165732860565186e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.481000000000000227e+01,2.966000000000000014e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.984077904224395752e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.475000000000000000e+01,2.973000000000000043e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.993992094993591309e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.457999999999999829e+01,2.962999999999999901e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.003897945880889893e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.442000000000000171e+01,2.966000000000000014e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.013803174495697021e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.428999999999999915e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.023718180656433105e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.410000000000000142e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.033633098602294922e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.410000000000000142e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.043543436527252197e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.410000000000000142e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.053456144332885742e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.407000000000000028e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.063365933895111084e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.396999999999999886e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.073272213935852051e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.384000000000000341e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.083180687427520752e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.384000000000000341e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.093091549873352051e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.388000000000000256e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.102999241352081299e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.403999999999999915e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.112904872894287109e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.410000000000000142e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.122818601131439209e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.410000000000000142e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.132728843688964844e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.410000000000000142e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.142634162902832031e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.410000000000000142e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.152546775341033936e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.413000000000000256e+01,2.957000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.162456634044647217e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.413000000000000256e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.172370853424072266e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.439000000000000057e+01,2.957000000000000028e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.182281408309936523e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.442000000000000171e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.192188642024993896e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.464999999999999858e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.202098500728607178e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.475000000000000000e+01,2.960000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.212004482746124268e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.475000000000000000e+01,2.950000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.221916623115539551e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.493999999999999773e+01,2.953999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.231825025081634521e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.507000000000000028e+01,2.953999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.241736152172088623e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.507000000000000028e+01,2.933999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.251647229194641113e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.520000000000000284e+01,2.930999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.261560981273651123e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.539000000000000057e+01,2.933999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
